"Day","Time","Auditory","Subject","Group","Teacher","Institute"
"Tuesday","08:30","Р247","Программирование 2. Комфорт (Python) АИИ и ПИИ","АТ-05","Новиков Максим Юрьевич,  Царегородцев Георгий Павлович","ИРИТ-РТФ"
"Tuesday","10:15","Р247","Программирование 2. Комфорт (Python) АИИ и ПИИ","АТ-05","Царегородцев Георгий Павлович,  Новиков Максим Юрьевич","ИРИТ-РТФ"
"Tuesday","12:00","","Прикладная физическая культура Часть 2 (ИРИТ\\, ИНМТ\\, ИНФО)","АТ-02","Морозова Людмила Гарфулловна",""
"Thursday","12:00","","Прикладная физическая культура Часть 2 (ИРИТ\\, ИНМТ\\, ИНФО)","АТ-02","Морозова Людмила Гарфулловна",""
"Wednesday","06:50","https","Философия (онлайн\\, УрФУ\\, ОК)","АТ-01","Замощанский Иван Игоревич","ОНЛАЙН"
"Monday","10:15","ГУК404(II)","Векторный анализ. ИРИТ-РТФ (09 УГН)","АТ-01","Борич Михаил Александрович","ГУК"
"Monday","12:00","СП502","Векторный анализ. ИРИТ-РТФ (09 УГН)","АТ-01","Борич Михаил Александрович","ИСА"
"Monday","14:15","СП502","Векторный анализ. ИРИТ-РТФ (09 УГН)","АТ-01","Борич Михаил Александрович","ИСА"
"Wednesday","10:15","Р339","Дополнительные главы математики. ИРИТ-РТФ (09 УГН)","АТ-05","Хребтова Оксана Константиновна","ИРИТ-РТФ"
"Wednesday","12:00","СП502","Дополнительные главы математики. ИРИТ-РТФ (09 УГН)","АТ-05","Хребтова Оксана Константиновна","ИСА"
"Wednesday","14:15","ГУК404(II)","Физика. Часть 2. Основной уровень","АТ-44","Чикова Ольга Анатольевна,  Рыжова Анна Алексеевна","ГУК"
"Thursday","08:30","И261","Физика. Часть 2. Основной уровень","АТ-44","Рыжова Анна Алексеевна,  Чикова Ольга Анатольевна","ГУК"
"Tuesday","14:15","Р135","Сбор и верификация данных","АТ-04","Мартынов Дмитрий Александрович","ИРИТ-РТФ"
"Friday","16:00","Р141","Иностранный язык (Смешанное\\, УрФУ\\, СМУДС) Часть 2.A0-A1","СР-02","Трофимова Наталья Юрьевна","ИРИТ-РТФ"
"Friday","20:50","https","Иностранный язык (Смешанное\\, УрФУ\\, СМУДС) Часть 2.A0-A1","СР-02","Трофимова Наталья Юрьевна","ОНЛАЙН"
